channel,reference,protocol,n_ref,n_other,mann_whitney_p,significant_0.05
lossless,RPL_STANDARD,AER_MQOS,5,5,1.0,no
lossless,RPL_STANDARD,RPL_AER,5,5,1.0,no
lossless,RPL_STANDARD,RPL_MQOS,5,5,1.0,no
lossy,RPL_STANDARD,AER_MQOS,5,5,1.0,no
lossy,RPL_STANDARD,RPL_AER,5,5,1.0,no
lossy,RPL_STANDARD,RPL_MQOS,5,5,1.0,no
