channel,success_ratio,protocol,seed,pdr_mean,pdr_std,tx_total,rx_total,pdr_c0,pdr_c1,pdr_c2,pdr_c3
lossless,1.0,RPL_STANDARD,20260602,65.303,0.0,1320,862,74.0,62.0155,58.2996,66.3212
lossless,1.0,RPL_MQOS,20260602,65.303,0.0,1320,862,74.0,62.0155,58.2996,66.3212
lossless,1.0,RPL_AER,20260602,65.303,0.0,1320,862,74.0,62.0155,58.2996,66.3212
lossless,1.0,AER_MQOS,20260602,65.303,0.0,1320,862,74.0,62.0155,58.2996,66.3212
lossy,0.85,RPL_STANDARD,20260602,77.2414,0.0,435,336,84.9673,72.8261,77.2727,71.9178
lossy,0.85,RPL_MQOS,20260602,77.2414,0.0,435,336,84.9673,72.8261,77.2727,71.9178
lossy,0.85,RPL_AER,20260602,77.2414,0.0,435,336,84.9673,72.8261,77.2727,71.9178
lossy,0.85,AER_MQOS,20260602,77.2414,0.0,435,336,84.9673,72.8261,77.2727,71.9178
