channel,success_ratio,scenario,protocol,pdr_mean,seed
lossy,0.85,epoch_second_half,AER_MQOS,99.8408,20260502
lossy,0.85,epoch_first_half,RPL_STANDARD,99.7333,20260503
lossy,0.85,epoch_second_half,RPL_STANDARD,100.0,20260503
lossy,0.85,epoch_first_half,RPL_MQOS,99.7354,20260503
lossy,0.85,epoch_second_half,RPL_MQOS,100.0,20260503
lossy,0.85,epoch_first_half,RPL_AER,99.7354,20260503
lossy,0.85,epoch_second_half,RPL_AER,100.0,20260503
lossy,0.85,epoch_first_half,AER_MQOS,99.7368,20260503
lossy,0.85,epoch_second_half,AER_MQOS,100.0,20260503
lossy,0.85,epoch_first_half,RPL_STANDARD,100.0,20260504
lossy,0.85,epoch_second_half,RPL_STANDARD,100.0,20260504
lossy,0.85,epoch_first_half,RPL_MQOS,100.0,20260504
lossy,0.85,epoch_second_half,RPL_MQOS,99.5968,20260504
lossy,0.85,epoch_first_half,RPL_AER,99.8379,20260504
lossy,0.85,epoch_second_half,RPL_AER,100.0,20260504
lossy,0.85,epoch_first_half,AER_MQOS,99.8397,20260504
lossy,0.85,epoch_second_half,AER_MQOS,100.0,20260504
lossy,0.85,epoch_first_half,RPL_STANDARD,100.0,20260505
lossy,0.85,epoch_second_half,RPL_STANDARD,100.0,20260505
lossy,0.85,epoch_first_half,RPL_MQOS,100.0,20260505
lossy,0.85,epoch_second_half,RPL_MQOS,99.8092,20260505
lossy,0.85,epoch_first_half,RPL_AER,100.0,20260505
lossy,0.85,epoch_second_half,RPL_AER,100.0,20260505
lossy,0.85,epoch_first_half,AER_MQOS,99.8314,20260505
lossy,0.85,epoch_second_half,AER_MQOS,99.8363,20260505
lossy,0.85,epoch_first_half,RPL_STANDARD,99.851,20260506
lossy,0.85,epoch_second_half,RPL_STANDARD,99.7019,20260506
lossy,0.85,epoch_first_half,RPL_MQOS,100.0,20260506
lossy,0.85,epoch_second_half,RPL_MQOS,99.8538,20260506
lossy,0.85,epoch_first_half,RPL_AER,100.0,20260506
lossy,0.85,epoch_second_half,RPL_AER,100.0,20260506
lossy,0.85,epoch_first_half,AER_MQOS,100.0,20260506
lossy,0.85,epoch_second_half,AER_MQOS,100.0,20260506
lossy,0.85,epoch_first_half,RPL_STANDARD,100.0,20260507
lossy,0.85,epoch_second_half,RPL_STANDARD,100.0,20260507
lossy,0.85,epoch_first_half,RPL_MQOS,100.0,20260507
lossy,0.85,epoch_second_half,RPL_MQOS,100.0,20260507
lossy,0.85,epoch_first_half,RPL_AER,100.0,20260507
lossy,0.85,epoch_second_half,RPL_AER,100.0,20260507
lossy,0.85,epoch_first_half,AER_MQOS,100.0,20260507
lossy,0.85,epoch_second_half,AER_MQOS,100.0,20260507
lossy,0.85,epoch_first_half,RPL_STANDARD,100.0,20260508
lossy,0.85,epoch_second_half,RPL_STANDARD,100.0,20260508
lossy,0.85,epoch_first_half,RPL_MQOS,100.0,20260508
lossy,0.85,epoch_second_half,RPL_MQOS,100.0,20260508
lossy,0.85,epoch_first_half,RPL_AER,100.0,20260508
lossy,0.85,epoch_second_half,RPL_AER,100.0,20260508
lossy,0.85,epoch_first_half,AER_MQOS,100.0,20260508
lossy,0.85,epoch_second_half,AER_MQOS,100.0,20260508
lossy,0.85,epoch_first_half,RPL_STANDARD,100.0,20260512
lossy,0.85,epoch_second_half,RPL_STANDARD,99.8428,20260512
lossy,0.85,epoch_first_half,RPL_MQOS,100.0,20260512
lossy,0.85,epoch_second_half,RPL_MQOS,99.686,20260512
lossy,0.85,epoch_first_half,RPL_AER,99.4975,20260512
lossy,0.85,epoch_second_half,RPL_AER,100.0,20260512
lossy,0.85,epoch_first_half,AER_MQOS,99.8466,20260512
lossy,0.85,epoch_second_half,AER_MQOS,100.0,20260512
