channel,success_ratio,protocol,seed,class,alpha_x100,beta_x100
lossless,1.0,AER_MQOS,20260512,3,35.586,64.414
lossy,0.85,RPL_STANDARD,20260501,0,10.891,89.109
lossy,0.85,RPL_STANDARD,20260501,1,20.747,79.253
lossy,0.85,RPL_STANDARD,20260501,2,30.728,69.272
lossy,0.85,RPL_STANDARD,20260501,3,35.639,64.361
lossy,0.85,RPL_MQOS,20260501,0,10.878,89.122
lossy,0.85,RPL_MQOS,20260501,1,20.738,79.262
lossy,0.85,RPL_MQOS,20260501,2,30.719,69.281
lossy,0.85,RPL_MQOS,20260501,3,35.613,64.387
lossy,0.85,RPL_AER,20260501,0,10.878,89.122
lossy,0.85,RPL_AER,20260501,1,20.738,79.262
lossy,0.85,RPL_AER,20260501,2,30.719,69.281
lossy,0.85,RPL_AER,20260501,3,35.613,64.387
lossy,0.85,AER_MQOS,20260501,0,10.896,89.104
lossy,0.85,AER_MQOS,20260501,1,20.75,79.25
lossy,0.85,AER_MQOS,20260501,2,30.738,69.262
lossy,0.85,AER_MQOS,20260501,3,35.637,64.363
lossy,0.85,RPL_STANDARD,20260502,0,10.826,89.174
lossy,0.85,RPL_STANDARD,20260502,1,20.7,79.3
lossy,0.85,RPL_STANDARD,20260502,2,30.74,69.26
lossy,0.85,RPL_STANDARD,20260502,3,35.626,64.374
lossy,0.85,RPL_MQOS,20260502,0,10.826,89.174
lossy,0.85,RPL_MQOS,20260502,1,20.7,79.3
lossy,0.85,RPL_MQOS,20260502,2,30.74,69.26
lossy,0.85,RPL_MQOS,20260502,3,35.626,64.374
lossy,0.85,RPL_AER,20260502,0,10.826,89.174
lossy,0.85,RPL_AER,20260502,1,20.7,79.3
lossy,0.85,RPL_AER,20260502,2,30.74,69.26
lossy,0.85,RPL_AER,20260502,3,35.626,64.374
lossy,0.85,AER_MQOS,20260502,0,10.829,89.171
lossy,0.85,AER_MQOS,20260502,1,20.723,79.277
lossy,0.85,AER_MQOS,20260502,2,30.758,69.242
lossy,0.85,AER_MQOS,20260502,3,35.629,64.371
lossy,0.85,RPL_STANDARD,20260503,0,10.854,89.146
lossy,0.85,RPL_STANDARD,20260503,1,20.845,79.155
lossy,0.85,RPL_STANDARD,20260503,2,30.746,69.254
lossy,0.85,RPL_STANDARD,20260503,3,35.714,64.286
lossy,0.85,RPL_MQOS,20260503,0,10.854,89.146
lossy,0.85,RPL_MQOS,20260503,1,20.845,79.155
lossy,0.85,RPL_MQOS,20260503,2,30.746,69.254
lossy,0.85,RPL_MQOS,20260503,3,35.706,64.294
lossy,0.85,RPL_AER,20260503,0,10.854,89.146
lossy,0.85,RPL_AER,20260503,1,20.845,79.155
lossy,0.85,RPL_AER,20260503,2,30.746,69.254
lossy,0.85,RPL_AER,20260503,3,35.706,64.294
lossy,0.85,AER_MQOS,20260503,0,10.854,89.146
lossy,0.85,AER_MQOS,20260503,1,20.845,79.155
lossy,0.85,AER_MQOS,20260503,2,30.746,69.254
lossy,0.85,AER_MQOS,20260503,3,35.701,64.299
lossy,0.85,RPL_STANDARD,20260504,0,10.93,89.07
lossy,0.85,RPL_STANDARD,20260504,1,20.831,79.169
lossy,0.85,RPL_STANDARD,20260504,2,30.692,69.308
lossy,0.85,RPL_STANDARD,20260504,3,35.594,64.406
lossy,0.85,RPL_MQOS,20260504,0,11.061,88.939
lossy,0.85,RPL_MQOS,20260504,1,20.954,79.046
lossy,0.85,RPL_MQOS,20260504,2,30.795,69.205
lossy,0.85,RPL_MQOS,20260504,3,35.682,64.318
lossy,0.85,RPL_AER,20260504,0,10.974,89.026
lossy,0.85,RPL_AER,20260504,1,20.852,79.148
lossy,0.85,RPL_AER,20260504,2,30.717,69.283
lossy,0.85,RPL_AER,20260504,3,35.627,64.373
lossy,0.85,AER_MQOS,20260504,0,10.93,89.07
lossy,0.85,AER_MQOS,20260504,1,20.831,79.169
lossy,0.85,AER_MQOS,20260504,2,30.692,69.308
lossy,0.85,AER_MQOS,20260504,3,35.594,64.406
lossy,0.85,RPL_STANDARD,20260505,0,10.73,89.27
lossy,0.85,RPL_STANDARD,20260505,1,20.789,79.211
lossy,0.85,RPL_STANDARD,20260505,2,30.746,69.254
lossy,0.85,RPL_STANDARD,20260505,3,35.603,64.397
lossy,0.85,RPL_MQOS,20260505,0,10.799,89.201
lossy,0.85,RPL_MQOS,20260505,1,20.836,79.164
