channel,success_ratio,protocol,seed,time_min,parent_changes_cumulative,parent_switch_console
lossless,1.0,RPL_AER,20260504,21.0756,935,0
lossless,1.0,RPL_AER,20260504,23.555,1050,0
lossless,1.0,RPL_AER,20260504,26.0345,1149,0
lossless,1.0,RPL_AER,20260504,28.514,1269,0
lossless,1.0,AER_MQOS,20260504,1.2397,78,0
lossless,1.0,AER_MQOS,20260504,3.7192,193,0
lossless,1.0,AER_MQOS,20260504,6.1986,292,0
lossless,1.0,AER_MQOS,20260504,8.6781,407,0
lossless,1.0,AER_MQOS,20260504,11.1576,506,0
lossless,1.0,AER_MQOS,20260504,13.637,621,0
lossless,1.0,AER_MQOS,20260504,16.1165,720,0
lossless,1.0,AER_MQOS,20260504,18.596,835,0
lossless,1.0,AER_MQOS,20260504,21.0754,934,0
lossless,1.0,AER_MQOS,20260504,23.5549,1049,0
lossless,1.0,AER_MQOS,20260504,26.0343,1148,0
lossless,1.0,AER_MQOS,20260504,28.5138,1268,0
lossless,1.0,RPL_STANDARD,20260505,1.2398,79,0
lossless,1.0,RPL_STANDARD,20260505,3.7195,187,0
lossless,1.0,RPL_STANDARD,20260505,6.1991,281,0
lossless,1.0,RPL_STANDARD,20260505,8.6788,389,0
lossless,1.0,RPL_STANDARD,20260505,11.1584,483,0
lossless,1.0,RPL_STANDARD,20260505,13.6381,591,0
lossless,1.0,RPL_STANDARD,20260505,16.1177,685,0
lossless,1.0,RPL_STANDARD,20260505,18.5974,793,0
lossless,1.0,RPL_STANDARD,20260505,21.0771,887,0
lossless,1.0,RPL_STANDARD,20260505,23.5567,995,0
lossless,1.0,RPL_STANDARD,20260505,26.0364,1089,0
lossless,1.0,RPL_STANDARD,20260505,28.516,1202,0
lossless,1.0,RPL_STANDARD,20260506,1.24,89,0
lossless,1.0,RPL_STANDARD,20260506,3.7201,212,0
lossless,1.0,RPL_STANDARD,20260506,6.2002,319,0
lossless,1.0,RPL_STANDARD,20260506,8.6803,442,0
lossless,1.0,RPL_STANDARD,20260506,11.1603,549,0
lossless,1.0,RPL_STANDARD,20260506,13.6404,672,0
lossless,1.0,RPL_STANDARD,20260506,16.1205,779,0
lossless,1.0,RPL_STANDARD,20260506,18.6006,902,0
lossless,1.0,RPL_STANDARD,20260506,21.0806,1009,0
lossless,1.0,RPL_STANDARD,20260506,23.5607,1132,0
lossless,1.0,RPL_STANDARD,20260506,26.0408,1239,0
lossless,1.0,RPL_STANDARD,20260506,28.5209,1368,0
lossless,1.0,RPL_MQOS,20260506,1.2401,89,0
lossless,1.0,RPL_MQOS,20260506,3.7202,212,0
lossless,1.0,RPL_MQOS,20260506,6.2003,319,0
lossless,1.0,RPL_MQOS,20260506,8.6804,442,0
lossless,1.0,RPL_MQOS,20260506,11.1605,549,0
lossless,1.0,RPL_MQOS,20260506,13.6406,672,0
lossless,1.0,RPL_MQOS,20260506,16.1207,779,0
lossless,1.0,RPL_MQOS,20260506,18.6008,902,0
lossless,1.0,RPL_MQOS,20260506,21.0809,1009,0
lossless,1.0,RPL_MQOS,20260506,23.5611,1132,0
lossless,1.0,RPL_MQOS,20260506,26.0412,1239,0
lossless,1.0,RPL_MQOS,20260506,28.5213,1368,0
lossless,1.0,RPL_AER,20260506,1.2401,89,0
lossless,1.0,RPL_AER,20260506,3.7202,212,0
lossless,1.0,RPL_AER,20260506,6.2003,319,0
lossless,1.0,RPL_AER,20260506,8.6804,442,0
lossless,1.0,RPL_AER,20260506,11.1605,549,0
lossless,1.0,RPL_AER,20260506,13.6406,672,0
lossless,1.0,RPL_AER,20260506,16.1207,779,0
lossless,1.0,RPL_AER,20260506,18.6008,902,0
lossless,1.0,RPL_AER,20260506,21.0809,1009,0
lossless,1.0,RPL_AER,20260506,23.5611,1132,0
lossless,1.0,RPL_AER,20260506,26.0412,1239,0
lossless,1.0,RPL_AER,20260506,28.5213,1368,0
lossless,1.0,AER_MQOS,20260506,1.2401,89,0
lossless,1.0,AER_MQOS,20260506,3.7201,212,0
lossless,1.0,AER_MQOS,20260506,6.2002,319,0
