protocol,seed,latency_ms_mean,latency_ms_p95
RPL_STANDARD,20260512,451.102,908.0
RPL_MQOS,20260512,451.361,910.0
RPL_AER,20260512,451.497,911.0
AER_MQOS,20260512,451.361,910.0
