protocol,seed,duty_cycle_pct,nre_mean_x100
RPL_STANDARD,20260512,76.123,76.123
RPL_MQOS,20260512,76.118,76.118
RPL_AER,20260512,76.121,76.121
AER_MQOS,20260512,76.118,76.118
