channel,success_ratio,protocol,seed,time_min,parent_changes_cumulative,parent_switch_console
lossless,1.0,RPL_STANDARD,20260503,1.2289,21,0
lossless,1.0,RPL_STANDARD,20260503,1.3459,33,0
lossless,1.0,RPL_MQOS,20260503,0.0585,0,0
lossless,1.0,RPL_MQOS,20260503,0.1756,0,0
lossless,1.0,RPL_MQOS,20260503,0.2926,2,0
lossless,1.0,RPL_MQOS,20260503,0.4096,4,0
lossless,1.0,RPL_MQOS,20260503,0.5267,7,0
lossless,1.0,RPL_MQOS,20260503,0.6437,11,0
lossless,1.0,RPL_MQOS,20260503,0.7607,11,0
lossless,1.0,RPL_MQOS,20260503,0.8778,14,0
lossless,1.0,RPL_MQOS,20260503,0.9948,17,0
lossless,1.0,RPL_MQOS,20260503,1.1119,21,0
lossless,1.0,RPL_MQOS,20260503,1.2289,21,0
lossless,1.0,RPL_MQOS,20260503,1.3459,33,0
lossless,1.0,RPL_AER,20260503,0.0585,0,0
lossless,1.0,RPL_AER,20260503,0.1756,0,0
lossless,1.0,RPL_AER,20260503,0.2926,2,0
lossless,1.0,RPL_AER,20260503,0.4096,4,0
lossless,1.0,RPL_AER,20260503,0.5267,7,0
lossless,1.0,RPL_AER,20260503,0.6437,11,0
lossless,1.0,RPL_AER,20260503,0.7607,11,0
lossless,1.0,RPL_AER,20260503,0.8778,14,0
lossless,1.0,RPL_AER,20260503,0.9948,17,0
lossless,1.0,RPL_AER,20260503,1.1119,21,0
lossless,1.0,RPL_AER,20260503,1.2289,21,0
lossless,1.0,RPL_AER,20260503,1.3459,33,0
lossless,1.0,AER_MQOS,20260503,0.0585,0,0
lossless,1.0,AER_MQOS,20260503,0.1756,0,0
lossless,1.0,AER_MQOS,20260503,0.2926,2,0
lossless,1.0,AER_MQOS,20260503,0.4096,4,0
lossless,1.0,AER_MQOS,20260503,0.5267,7,0
lossless,1.0,AER_MQOS,20260503,0.6437,11,0
lossless,1.0,AER_MQOS,20260503,0.7607,11,0
lossless,1.0,AER_MQOS,20260503,0.8778,14,0
lossless,1.0,AER_MQOS,20260503,0.9948,17,0
lossless,1.0,AER_MQOS,20260503,1.1119,21,0
lossless,1.0,AER_MQOS,20260503,1.2289,21,0
lossless,1.0,AER_MQOS,20260503,1.3459,33,0
lossless,1.0,RPL_STANDARD,20260504,0.0585,0,0
lossless,1.0,RPL_STANDARD,20260504,0.1755,0,0
lossless,1.0,RPL_STANDARD,20260504,0.2925,2,0
lossless,1.0,RPL_STANDARD,20260504,0.4095,5,0
lossless,1.0,RPL_STANDARD,20260504,0.5266,8,0
lossless,1.0,RPL_STANDARD,20260504,0.6436,14,0
lossless,1.0,RPL_STANDARD,20260504,0.7606,14,0
lossless,1.0,RPL_STANDARD,20260504,0.8776,17,0
lossless,1.0,RPL_STANDARD,20260504,0.9946,21,0
lossless,1.0,RPL_STANDARD,20260504,1.1116,25,0
lossless,1.0,RPL_STANDARD,20260504,1.2287,25,0
lossless,1.0,RPL_STANDARD,20260504,1.3457,37,0
lossless,1.0,RPL_MQOS,20260504,0.0585,0,0
lossless,1.0,RPL_MQOS,20260504,0.1755,0,0
lossless,1.0,RPL_MQOS,20260504,0.2925,2,0
lossless,1.0,RPL_MQOS,20260504,0.4095,5,0
lossless,1.0,RPL_MQOS,20260504,0.5266,8,0
lossless,1.0,RPL_MQOS,20260504,0.6436,14,0
lossless,1.0,RPL_MQOS,20260504,0.7606,14,0
lossless,1.0,RPL_MQOS,20260504,0.8776,17,0
lossless,1.0,RPL_MQOS,20260504,0.9946,21,0
lossless,1.0,RPL_MQOS,20260504,1.1116,25,0
lossless,1.0,RPL_MQOS,20260504,1.2287,25,0
lossless,1.0,RPL_MQOS,20260504,1.3457,37,0
lossless,1.0,RPL_AER,20260504,0.0585,0,0
lossless,1.0,RPL_AER,20260504,0.1755,0,0
lossless,1.0,RPL_AER,20260504,0.2925,2,0
lossless,1.0,RPL_AER,20260504,0.4095,5,0
lossless,1.0,RPL_AER,20260504,0.5266,8,0
lossless,1.0,RPL_AER,20260504,0.6436,14,0
lossless,1.0,RPL_AER,20260504,0.7606,14,0
lossless,1.0,RPL_AER,20260504,0.8776,17,0
lossless,1.0,RPL_AER,20260504,0.9946,21,0
lossless,1.0,RPL_AER,20260504,1.1116,25,0
lossless,1.0,RPL_AER,20260504,1.2287,25,0
lossless,1.0,RPL_AER,20260504,1.3457,37,0
lossless,1.0,AER_MQOS,20260504,0.0585,0,0
lossless,1.0,AER_MQOS,20260504,0.1755,0,0
lossless,1.0,AER_MQOS,20260504,0.2925,2,0
lossless,1.0,AER_MQOS,20260504,0.4095,5,0
lossless,1.0,AER_MQOS,20260504,0.5266,7,0
lossless,1.0,AER_MQOS,20260504,0.6436,13,0
lossless,1.0,AER_MQOS,20260504,0.7606,13,0
lossless,1.0,AER_MQOS,20260504,0.8776,16,0
lossless,1.0,AER_MQOS,20260504,0.9946,20,0
lossless,1.0,AER_MQOS,20260504,1.1116,24,0
lossless,1.0,AER_MQOS,20260504,1.2287,24,0
lossless,1.0,AER_MQOS,20260504,1.3457,36,0
lossless,1.0,RPL_STANDARD,20260505,0.0586,0,0
lossless,1.0,RPL_STANDARD,20260505,0.1758,0,0
lossless,1.0,RPL_STANDARD,20260505,0.293,2,0
lossless,1.0,RPL_STANDARD,20260505,0.4102,6,0
lossless,1.0,RPL_STANDARD,20260505,0.5274,9,0
lossless,1.0,RPL_STANDARD,20260505,0.6446,14,0
lossless,1.0,RPL_STANDARD,20260505,0.7618,14,0
lossless,1.0,RPL_STANDARD,20260505,0.879,18,0
lossless,1.0,RPL_STANDARD,20260505,0.9962,22,0
lossless,1.0,RPL_STANDARD,20260505,1.1134,26,0
lossless,1.0,RPL_STANDARD,20260505,1.2306,26,0
lossless,1.0,RPL_STANDARD,20260505,1.3478,39,0
lossless,1.0,RPL_MQOS,20260505,0.0586,0,0
lossless,1.0,RPL_MQOS,20260505,0.1758,0,0
lossless,1.0,RPL_MQOS,20260505,0.293,2,0
lossless,1.0,RPL_MQOS,20260505,0.4102,6,0
lossless,1.0,RPL_MQOS,20260505,0.5274,9,0
lossless,1.0,RPL_MQOS,20260505,0.6446,14,0
lossless,1.0,RPL_MQOS,20260505,0.7618,14,0
lossless,1.0,RPL_MQOS,20260505,0.879,18,0
lossless,1.0,RPL_MQOS,20260505,0.9962,22,0
lossless,1.0,RPL_MQOS,20260505,1.1134,26,0
lossless,1.0,RPL_MQOS,20260505,1.2306,26,0
lossless,1.0,RPL_MQOS,20260505,1.3478,39,0
lossless,1.0,RPL_AER,20260505,0.0586,0,0
lossless,1.0,RPL_AER,20260505,0.1758,0,0
lossless,1.0,RPL_AER,20260505,0.293,2,0
lossless,1.0,RPL_AER,20260505,0.4102,6,0
lossless,1.0,RPL_AER,20260505,0.5274,9,0
lossless,1.0,RPL_AER,20260505,0.6446,14,0
lossless,1.0,RPL_AER,20260505,0.7618,14,0
lossless,1.0,RPL_AER,20260505,0.879,18,0
lossless,1.0,RPL_AER,20260505,0.9962,22,0
lossless,1.0,RPL_AER,20260505,1.1134,26,0
lossless,1.0,RPL_AER,20260505,1.2306,26,0
lossless,1.0,RPL_AER,20260505,1.3478,39,0
lossless,1.0,AER_MQOS,20260505,0.0586,0,0
lossless,1.0,AER_MQOS,20260505,0.1758,0,0
lossless,1.0,AER_MQOS,20260505,0.293,2,0
lossless,1.0,AER_MQOS,20260505,0.4102,6,0
lossless,1.0,AER_MQOS,20260505,0.5274,9,0
lossless,1.0,AER_MQOS,20260505,0.6446,14,0
lossless,1.0,AER_MQOS,20260505,0.7618,14,0
lossless,1.0,AER_MQOS,20260505,0.879,18,0
lossless,1.0,AER_MQOS,20260505,0.9962,22,0
lossless,1.0,AER_MQOS,20260505,1.1134,26,0
lossless,1.0,AER_MQOS,20260505,1.2306,26,0
lossless,1.0,AER_MQOS,20260505,1.3478,39,0
lossy,0.85,RPL_STANDARD,20260501,0.0588,0,0
lossy,0.85,RPL_STANDARD,20260501,0.1766,0,0
lossy,0.85,RPL_STANDARD,20260501,0.2943,2,0
lossy,0.85,RPL_STANDARD,20260501,0.412,5,0
lossy,0.85,RPL_STANDARD,20260501,0.5297,7,0
lossy,0.85,RPL_STANDARD,20260501,0.6474,14,0
lossy,0.85,RPL_STANDARD,20260501,0.7651,14,0
lossy,0.85,RPL_STANDARD,20260501,0.8828,18,0
lossy,0.85,RPL_STANDARD,20260501,1.0005,23,0
lossy,0.85,RPL_STANDARD,20260501,1.1182,27,0
lossy,0.85,RPL_STANDARD,20260501,1.2359,27,0
lossy,0.85,RPL_STANDARD,20260501,1.3536,41,0
lossy,0.85,RPL_MQOS,20260501,0.0589,0,0
lossy,0.85,RPL_MQOS,20260501,0.1766,0,0
lossy,0.85,RPL_MQOS,20260501,0.2943,2,0
lossy,0.85,RPL_MQOS,20260501,0.4121,5,0
lossy,0.85,RPL_MQOS,20260501,0.5298,7,0
lossy,0.85,RPL_MQOS,20260501,0.6475,14,0
lossy,0.85,RPL_MQOS,20260501,0.7653,14,0
lossy,0.85,RPL_MQOS,20260501,0.883,18,0
lossy,0.85,RPL_MQOS,20260501,1.0007,23,0
lossy,0.85,RPL_MQOS,20260501,1.1185,27,0
lossy,0.85,RPL_MQOS,20260501,1.2362,27,0
lossy,0.85,RPL_MQOS,20260501,1.3539,41,0
lossy,0.85,RPL_AER,20260501,0.0589,0,0
lossy,0.85,RPL_AER,20260501,0.1766,0,0
lossy,0.85,RPL_AER,20260501,0.2943,2,0
lossy,0.85,RPL_AER,20260501,0.4121,5,0
lossy,0.85,RPL_AER,20260501,0.5298,7,0
lossy,0.85,RPL_AER,20260501,0.6475,14,0
lossy,0.85,RPL_AER,20260501,0.7653,14,0
lossy,0.85,RPL_AER,20260501,0.883,18,0
lossy,0.85,RPL_AER,20260501,1.0007,23,0
lossy,0.85,RPL_AER,20260501,1.1185,27,0
lossy,0.85,RPL_AER,20260501,1.2362,27,0
lossy,0.85,RPL_AER,20260501,1.3539,41,0
lossy,0.85,AER_MQOS,20260501,0.0589,0,0
lossy,0.85,AER_MQOS,20260501,0.1768,0,0
lossy,0.85,AER_MQOS,20260501,0.2947,2,0
lossy,0.85,AER_MQOS,20260501,0.4125,5,0
lossy,0.85,AER_MQOS,20260501,0.5304,7,0
lossy,0.85,AER_MQOS,20260501,0.6483,14,0
lossy,0.85,AER_MQOS,20260501,0.7661,14,0
lossy,0.85,AER_MQOS,20260501,0.884,18,0
lossy,0.85,AER_MQOS,20260501,1.0019,23,0
lossy,0.85,AER_MQOS,20260501,1.1197,26,0
lossy,0.85,AER_MQOS,20260501,1.2376,26,0
lossy,0.85,AER_MQOS,20260501,1.3555,40,0
lossy,0.85,RPL_STANDARD,20260502,0.0585,0,0
lossy,0.85,RPL_STANDARD,20260502,0.1755,0,0
lossy,0.85,RPL_STANDARD,20260502,0.2925,2,0
lossy,0.85,RPL_STANDARD,20260502,0.4096,4,0
lossy,0.85,RPL_STANDARD,20260502,0.5266,6,0
lossy,0.85,RPL_STANDARD,20260502,0.6436,12,0
lossy,0.85,RPL_STANDARD,20260502,0.7606,12,0
lossy,0.85,RPL_STANDARD,20260502,0.8777,16,0
lossy,0.85,RPL_STANDARD,20260502,0.9947,21,0
lossy,0.85,RPL_STANDARD,20260502,1.1117,24,0
lossy,0.85,RPL_STANDARD,20260502,1.2287,24,0
lossy,0.85,RPL_STANDARD,20260502,1.3457,39,0
lossy,0.85,RPL_MQOS,20260502,0.0585,0,0
lossy,0.85,RPL_MQOS,20260502,0.1755,0,0
lossy,0.85,RPL_MQOS,20260502,0.2925,2,0
lossy,0.85,RPL_MQOS,20260502,0.4096,4,0
lossy,0.85,RPL_MQOS,20260502,0.5266,6,0
lossy,0.85,RPL_MQOS,20260502,0.6436,12,0
lossy,0.85,RPL_MQOS,20260502,0.7606,12,0
lossy,0.85,RPL_MQOS,20260502,0.8777,16,0
lossy,0.85,RPL_MQOS,20260502,0.9947,21,0
lossy,0.85,RPL_MQOS,20260502,1.1117,24,0
lossy,0.85,RPL_MQOS,20260502,1.2287,24,0
lossy,0.85,RPL_MQOS,20260502,1.3457,39,0
lossy,0.85,RPL_AER,20260502,0.0585,0,0
lossy,0.85,RPL_AER,20260502,0.1755,0,0
lossy,0.85,RPL_AER,20260502,0.2925,2,0
lossy,0.85,RPL_AER,20260502,0.4096,4,0
lossy,0.85,RPL_AER,20260502,0.5266,6,0
lossy,0.85,RPL_AER,20260502,0.6436,12,0
lossy,0.85,RPL_AER,20260502,0.7606,12,0
lossy,0.85,RPL_AER,20260502,0.8777,16,0
lossy,0.85,RPL_AER,20260502,0.9947,21,0
lossy,0.85,RPL_AER,20260502,1.1117,24,0
lossy,0.85,RPL_AER,20260502,1.2287,24,0
lossy,0.85,RPL_AER,20260502,1.3457,39,0
lossy,0.85,AER_MQOS,20260502,0.0585,0,0
lossy,0.85,AER_MQOS,20260502,0.1755,0,0
lossy,0.85,AER_MQOS,20260502,0.2925,2,0
lossy,0.85,AER_MQOS,20260502,0.4096,4,0
lossy,0.85,AER_MQOS,20260502,0.5266,6,0
lossy,0.85,AER_MQOS,20260502,0.6436,12,0
lossy,0.85,AER_MQOS,20260502,0.7606,12,0
lossy,0.85,AER_MQOS,20260502,0.8777,16,0
lossy,0.85,AER_MQOS,20260502,0.9947,21,0
lossy,0.85,AER_MQOS,20260502,1.1117,24,0
lossy,0.85,AER_MQOS,20260502,1.2287,24,0
lossy,0.85,AER_MQOS,20260502,1.3457,39,0
lossy,0.85,RPL_STANDARD,20260503,0.0585,0,0
lossy,0.85,RPL_STANDARD,20260503,0.1756,0,0
lossy,0.85,RPL_STANDARD,20260503,0.2926,2,0
lossy,0.85,RPL_STANDARD,20260503,0.4096,5,0
lossy,0.85,RPL_STANDARD,20260503,0.5267,8,0
lossy,0.85,RPL_STANDARD,20260503,0.6437,12,0
lossy,0.85,RPL_STANDARD,20260503,0.7607,12,0
lossy,0.85,RPL_STANDARD,20260503,0.8778,15,0
lossy,0.85,RPL_STANDARD,20260503,0.9948,19,0
lossy,0.85,RPL_STANDARD,20260503,1.1119,23,0
lossy,0.85,RPL_STANDARD,20260503,1.2289,23,0
lossy,0.85,RPL_STANDARD,20260503,1.3459,35,0
lossy,0.85,RPL_MQOS,20260503,0.0585,0,0
lossy,0.85,RPL_MQOS,20260503,0.1756,0,0
lossy,0.85,RPL_MQOS,20260503,0.2926,2,0
lossy,0.85,RPL_MQOS,20260503,0.4096,5,0
lossy,0.85,RPL_MQOS,20260503,0.5267,8,0
lossy,0.85,RPL_MQOS,20260503,0.6437,12,0
lossy,0.85,RPL_MQOS,20260503,0.7607,12,0
lossy,0.85,RPL_MQOS,20260503,0.8778,15,0
lossy,0.85,RPL_MQOS,20260503,0.9948,19,0
lossy,0.85,RPL_MQOS,20260503,1.1119,23,0
lossy,0.85,RPL_MQOS,20260503,1.2289,23,0
lossy,0.85,RPL_MQOS,20260503,1.3459,35,0
lossy,0.85,RPL_AER,20260503,0.0585,0,0
lossy,0.85,RPL_AER,20260503,0.1756,0,0
lossy,0.85,RPL_AER,20260503,0.2926,2,0
lossy,0.85,RPL_AER,20260503,0.4096,5,0
lossy,0.85,RPL_AER,20260503,0.5267,8,0
lossy,0.85,RPL_AER,20260503,0.6437,12,0
lossy,0.85,RPL_AER,20260503,0.7607,12,0
lossy,0.85,RPL_AER,20260503,0.8778,15,0
lossy,0.85,RPL_AER,20260503,0.9948,19,0
lossy,0.85,RPL_AER,20260503,1.1119,23,0
lossy,0.85,RPL_AER,20260503,1.2289,23,0
lossy,0.85,RPL_AER,20260503,1.3459,35,0
lossy,0.85,AER_MQOS,20260503,0.0585,0,0
lossy,0.85,AER_MQOS,20260503,0.1756,0,0
lossy,0.85,AER_MQOS,20260503,0.2926,2,0
lossy,0.85,AER_MQOS,20260503,0.4096,5,0
lossy,0.85,AER_MQOS,20260503,0.5267,8,0
lossy,0.85,AER_MQOS,20260503,0.6437,12,0
lossy,0.85,AER_MQOS,20260503,0.7607,12,0
lossy,0.85,AER_MQOS,20260503,0.8778,15,0
lossy,0.85,AER_MQOS,20260503,0.9948,19,0
lossy,0.85,AER_MQOS,20260503,1.1119,23,0
lossy,0.85,AER_MQOS,20260503,1.2289,23,0
lossy,0.85,AER_MQOS,20260503,1.3459,35,0
lossy,0.85,RPL_STANDARD,20260504,0.0585,0,0
lossy,0.85,RPL_STANDARD,20260504,0.1756,0,0
lossy,0.85,RPL_STANDARD,20260504,0.2927,2,0
lossy,0.85,RPL_STANDARD,20260504,0.4098,4,0
lossy,0.85,RPL_STANDARD,20260504,0.5268,7,0
lossy,0.85,RPL_STANDARD,20260504,0.6439,13,0
lossy,0.85,RPL_STANDARD,20260504,0.761,13,0
lossy,0.85,RPL_STANDARD,20260504,0.8781,16,0
lossy,0.85,RPL_STANDARD,20260504,0.9952,20,0
lossy,0.85,RPL_STANDARD,20260504,1.1122,24,0
lossy,0.85,RPL_STANDARD,20260504,1.2293,24,0
lossy,0.85,RPL_STANDARD,20260504,1.3464,39,0
lossy,0.85,RPL_MQOS,20260504,0.0585,0,0
lossy,0.85,RPL_MQOS,20260504,0.1755,0,0
lossy,0.85,RPL_MQOS,20260504,0.2925,2,0
lossy,0.85,RPL_MQOS,20260504,0.4095,4,0
lossy,0.85,RPL_MQOS,20260504,0.5265,6,0
lossy,0.85,RPL_MQOS,20260504,0.6435,11,0
lossy,0.85,RPL_MQOS,20260504,0.7605,11,0
lossy,0.85,RPL_MQOS,20260504,0.8775,14,0
lossy,0.85,RPL_MQOS,20260504,0.9945,18,0
lossy,0.85,RPL_MQOS,20260504,1.1115,22,0
lossy,0.85,RPL_MQOS,20260504,1.2285,22,0
lossy,0.85,RPL_MQOS,20260504,1.3455,35,0
lossy,0.85,RPL_AER,20260504,0.0585,0,0
lossy,0.85,RPL_AER,20260504,0.1755,0,0
lossy,0.85,RPL_AER,20260504,0.2926,2,0
lossy,0.85,RPL_AER,20260504,0.4096,4,0
lossy,0.85,RPL_AER,20260504,0.5266,6,0
lossy,0.85,RPL_AER,20260504,0.6437,11,0
lossy,0.85,RPL_AER,20260504,0.7607,11,0
lossy,0.85,RPL_AER,20260504,0.8777,14,0
lossy,0.85,RPL_AER,20260504,0.9948,18,0
lossy,0.85,RPL_AER,20260504,1.1118,22,0
lossy,0.85,RPL_AER,20260504,1.2288,22,0
lossy,0.85,RPL_AER,20260504,1.3459,35,0
lossy,0.85,AER_MQOS,20260504,0.0585,0,0
lossy,0.85,AER_MQOS,20260504,0.1756,0,0
lossy,0.85,AER_MQOS,20260504,0.2926,2,0
lossy,0.85,AER_MQOS,20260504,0.4096,4,0
lossy,0.85,AER_MQOS,20260504,0.5267,7,0
lossy,0.85,AER_MQOS,20260504,0.6437,13,0
lossy,0.85,AER_MQOS,20260504,0.7607,13,0
lossy,0.85,AER_MQOS,20260504,0.8778,16,0
lossy,0.85,AER_MQOS,20260504,0.9948,20,0
lossy,0.85,AER_MQOS,20260504,1.1119,24,0
lossy,0.85,AER_MQOS,20260504,1.2289,24,0
lossy,0.85,AER_MQOS,20260504,1.3459,39,0
lossy,0.85,RPL_STANDARD,20260505,0.0587,0,0
lossy,0.85,RPL_STANDARD,20260505,0.1762,0,0
lossy,0.85,RPL_STANDARD,20260505,0.2936,2,0
lossy,0.85,RPL_STANDARD,20260505,0.4111,6,0
lossy,0.85,RPL_STANDARD,20260505,0.5285,8,0
lossy,0.85,RPL_STANDARD,20260505,0.646,13,0
lossy,0.85,RPL_STANDARD,20260505,0.7634,13,0
lossy,0.85,RPL_STANDARD,20260505,0.8809,18,0
lossy,0.85,RPL_STANDARD,20260505,0.9983,23,0
lossy,0.85,RPL_STANDARD,20260505,1.1158,28,0
lossy,0.85,RPL_STANDARD,20260505,1.2332,28,0
lossy,0.85,RPL_STANDARD,20260505,1.3507,42,0
lossy,0.85,RPL_MQOS,20260505,0.0587,0,0
lossy,0.85,RPL_MQOS,20260505,0.1762,0,0
lossy,0.85,RPL_MQOS,20260505,0.2936,2,0
lossy,0.85,RPL_MQOS,20260505,0.4111,6,0
lossy,0.85,RPL_MQOS,20260505,0.5285,8,0
lossy,0.85,RPL_MQOS,20260505,0.646,13,0
lossy,0.85,RPL_MQOS,20260505,0.7634,13,0
lossy,0.85,RPL_MQOS,20260505,0.8809,18,0
lossy,0.85,RPL_MQOS,20260505,0.9983,23,0
lossy,0.85,RPL_MQOS,20260505,1.1158,28,0
lossy,0.85,RPL_MQOS,20260505,1.2332,28,0
lossy,0.85,RPL_MQOS,20260505,1.3507,42,0
lossy,0.85,RPL_AER,20260505,0.0587,0,0
lossy,0.85,RPL_AER,20260505,0.1762,0,0
lossy,0.85,RPL_AER,20260505,0.2936,2,0
lossy,0.85,RPL_AER,20260505,0.4111,6,0
lossy,0.85,RPL_AER,20260505,0.5285,8,0
lossy,0.85,RPL_AER,20260505,0.646,13,0
lossy,0.85,RPL_AER,20260505,0.7634,13,0
lossy,0.85,RPL_AER,20260505,0.8809,18,0
lossy,0.85,RPL_AER,20260505,0.9983,23,0
lossy,0.85,RPL_AER,20260505,1.1158,28,0
lossy,0.85,RPL_AER,20260505,1.2332,28,0
lossy,0.85,RPL_AER,20260505,1.3507,42,0
lossy,0.85,AER_MQOS,20260505,0.0587,0,0
lossy,0.85,AER_MQOS,20260505,0.1762,0,0
