metric,column,channel,protocol,n,mean,std,ci95_half_width,mean_minus_ci,mean_plus_ci
PDR class pdr_c2,pdr_c2,lossless,RPL_MQOS,6,100.0,0.0,0.0,100.0,100.0
PDR class pdr_c2,pdr_c2,lossless,RPL_STANDARD,8,100.0,0.0,0.0,100.0,100.0
PDR class pdr_c2,pdr_c2,lossy,AER_MQOS,9,100.0,0.0,0.0,100.0,100.0
PDR class pdr_c2,pdr_c2,lossy,RPL_AER,9,99.9333,0.1327,0.0867,99.8466,100.02
PDR class pdr_c2,pdr_c2,lossy,RPL_MQOS,9,99.8664,0.1602,0.1046,99.7617,99.971
PDR class pdr_c2,pdr_c2,lossy,RPL_STANDARD,9,100.0,0.0,0.0,100.0,100.0
PDR class pdr_c3,pdr_c3,lossless,AER_MQOS,6,100.0,0.0,0.0,100.0,100.0
PDR class pdr_c3,pdr_c3,lossless,RPL_AER,6,100.0,0.0,0.0,100.0,100.0
PDR class pdr_c3,pdr_c3,lossless,RPL_MQOS,6,100.0,0.0,0.0,100.0,100.0
PDR class pdr_c3,pdr_c3,lossless,RPL_STANDARD,8,100.0,0.0,0.0,100.0,100.0
PDR class pdr_c3,pdr_c3,lossy,AER_MQOS,9,99.9711,0.0866,0.0566,99.9146,100.0277
PDR class pdr_c3,pdr_c3,lossy,RPL_AER,9,99.9698,0.0906,0.0592,99.9106,100.029
PDR class pdr_c3,pdr_c3,lossy,RPL_MQOS,9,100.0,0.0,0.0,100.0,100.0
PDR class pdr_c3,pdr_c3,lossy,RPL_STANDARD,9,100.0,0.0,0.0,100.0,100.0
