metric,column,channel,protocol,n,mean,std,ci95_half_width,mean_minus_ci,mean_plus_ci
PDR class pdr_c2,pdr_c2,lossless,RPL_STANDARD,1,58.2996,0.0,0.0,58.2996,58.2996
PDR class pdr_c2,pdr_c2,lossy,AER_MQOS,1,77.2727,0.0,0.0,77.2727,77.2727
PDR class pdr_c2,pdr_c2,lossy,RPL_AER,1,77.2727,0.0,0.0,77.2727,77.2727
PDR class pdr_c2,pdr_c2,lossy,RPL_MQOS,1,77.2727,0.0,0.0,77.2727,77.2727
PDR class pdr_c2,pdr_c2,lossy,RPL_STANDARD,1,77.2727,0.0,0.0,77.2727,77.2727
PDR class pdr_c3,pdr_c3,lossless,AER_MQOS,1,66.3212,0.0,0.0,66.3212,66.3212
PDR class pdr_c3,pdr_c3,lossless,RPL_AER,1,66.3212,0.0,0.0,66.3212,66.3212
PDR class pdr_c3,pdr_c3,lossless,RPL_MQOS,1,66.3212,0.0,0.0,66.3212,66.3212
PDR class pdr_c3,pdr_c3,lossless,RPL_STANDARD,1,66.3212,0.0,0.0,66.3212,66.3212
PDR class pdr_c3,pdr_c3,lossy,AER_MQOS,1,71.9178,0.0,0.0,71.9178,71.9178
PDR class pdr_c3,pdr_c3,lossy,RPL_AER,1,71.9178,0.0,0.0,71.9178,71.9178
PDR class pdr_c3,pdr_c3,lossy,RPL_MQOS,1,71.9178,0.0,0.0,71.9178,71.9178
PDR class pdr_c3,pdr_c3,lossy,RPL_STANDARD,1,71.9178,0.0,0.0,71.9178,71.9178
